"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.753436800E-1,0.000000000E0,5.742774159E-2,9.803394318E0,9.803562520E0
4.775358070E-1,0.000000000E0,4.785645381E-2,9.789037704E0,9.789154684E0
4.797299910E-1,9.571290575E-3,4.307080805E-2,9.784252167E0,9.784351648E0
4.819240220E-1,4.785645287E-3,2.931207791E-2,9.808179855E0,9.808224823E0
4.841218470E-1,-1.435693540E-2,4.366901144E-2,9.803394318E0,9.803502091E0
4.863180740E-1,0.000000000E0,5.264209956E-2,9.769894600E0,9.770036422E0
4.885137220E-1,-4.785645287E-3,4.785645381E-2,9.779465675E0,9.779583940E0
4.907098900E-1,-9.571290575E-3,4.307080805E-2,9.784252167E0,9.784351648E0
4.929069020E-1,0.000000000E0,5.264209956E-2,9.769894600E0,9.770036422E0
4.950978290E-1,-1.435693540E-2,4.307080805E-2,9.769894600E0,9.770000087E0
4.972787170E-1,1.435693540E-2,4.785645381E-2,9.784252167E0,9.784379736E0
4.994928690E-1,1.435693540E-2,4.307080805E-2,9.798608780E0,9.798713958E0
5.016894230E-1,-9.571290575E-3,5.264209956E-2,9.789037704E0,9.789183928E0
5.038912050E-1,4.785645287E-3,4.785645381E-2,9.798608780E0,9.798726813E0
5.060747980E-1,0.000000000E0,4.366901144E-2,9.803394318E0,9.803491578E0
5.082543130E-1,-4.785645287E-3,4.785645381E-2,9.789037704E0,9.789155853E0
5.104850970E-1,0.000000000E0,3.828516230E-2,9.793823242E0,9.793898072E0
5.126697080E-1,9.571290575E-3,5.264209956E-2,9.774680138E0,9.774826576E0
5.148707690E-1,0.000000000E0,3.349951655E-2,9.793823242E0,9.793880534E0
5.170569460E-1,-9.571290575E-3,4.785645381E-2,9.789037704E0,9.789159363E0
5.192557370E-1,-4.785645287E-3,4.785645381E-2,9.793823242E0,9.793941333E0
5.214520880E-1,-4.785645287E-3,4.307080805E-2,9.784252167E0,9.784348137E0
5.236479700E-1,0.000000000E0,3.828516230E-2,9.789037704E0,9.789112571E0
5.258444940E-1,9.571290575E-3,4.307080805E-2,9.789037704E0,9.789137137E0
5.280348100E-1,-1.435693540E-2,3.409772366E-2,9.798608780E0,9.798678625E0
5.302114770E-1,-9.571290575E-3,4.307080805E-2,9.784252167E0,9.784351648E0
5.324315190E-1,0.000000000E0,4.785645381E-2,9.784252167E0,9.784369203E0
5.346210130E-1,0.000000000E0,3.828516230E-2,9.789037704E0,9.789112571E0
5.368037920E-1,9.571290575E-3,4.785645381E-2,9.793823242E0,9.793944841E0
5.390188400E-1,-9.571290575E-3,4.307080805E-2,9.774680138E0,9.774779716E0
5.412085680E-1,-4.785645287E-3,3.828516230E-2,9.774680138E0,9.774756286E0
5.433920500E-1,9.571290575E-3,4.307080805E-2,9.784252167E0,9.784351648E0
5.456019800E-1,-9.571290575E-3,3.828516230E-2,9.793823242E0,9.793902749E0
5.477722680E-1,9.571290575E-3,4.307080805E-2,9.784252167E0,9.784351648E0
5.499621280E-1,-1.914258115E-2,5.264209956E-2,9.788438797E0,9.788599068E0
5.521695370E-1,-1.435693540E-2,5.264209956E-2,9.784252167E0,9.784404314E0
5.543983870E-1,-4.785645287E-3,3.828516230E-2,9.774680138E0,9.774756286E0
