"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.681419720E-1,2.496970177E1,1.325324631E1,1.680359650E1,3.288609735E1
2.703393190E-1,2.425305176E1,1.357627773E1,1.703151321E1,3.259751952E1
2.725362900E-1,2.341676140E1,1.381316662E1,1.719123459E1,3.216654836E1
2.747296190E-1,2.245125580E1,1.370010567E1,1.722293854E1,3.143853359E1
2.769190510E-1,2.138525391E1,1.337707520E1,1.721157265E1,3.053708333E1
2.790957480E-1,2.033839417E1,1.309173107E1,1.717568016E1,2.966559773E1
2.813183030E-1,1.926282120E1,1.277288723E1,1.707338715E1,2.873505659E1
2.835141240E-1,1.819203186E1,1.240558910E1,1.683709717E1,2.771888355E1
2.857167290E-1,1.702134323E1,1.196590805E1,1.646680641E1,2.653421931E1
2.879074040E-1,1.576870155E1,1.158365440E1,1.603789330E1,2.529915057E1
2.901053910E-1,1.456511116E1,1.136231804E1,1.543609905E1,2.407317778E1
2.923074180E-1,1.343330669E1,1.129352474E1,1.467697620E1,2.287817869E1
2.944941550E-1,1.229671574E1,1.107159042E1,1.386042500E1,2.158473334E1
2.966902100E-1,1.120259762E1,1.077727318E1,1.296371460E1,2.024118837E1
2.988838650E-1,1.014257717E1,1.050209904E1,1.208076286E1,1.895021866E1
3.010820550E-1,9.091529846E0,1.022692394E1,1.118405342E1,1.767283054E1
3.032722510E-1,8.108079910E0,9.994820595E0,1.032144070E1,1.649756154E1
3.054499660E-1,7.157530785E0,9.777072906E0,9.516255379E0,1.540715801E1
3.076714830E-1,6.283552170E0,9.588040352E0,8.744570732E0,1.441808111E1
3.098663160E-1,5.471786976E0,9.437891006E0,8.069195747E0,1.356930947E1
3.120681800E-1,4.770092010E0,9.326025963E0,7.423133850E0,1.283867027E1
3.142579390E-1,4.096512318E0,9.223732948E0,6.801598549E0,1.217047269E1
3.164545130E-1,3.475574970E0,9.107083321E0,6.275775433E0,1.159327155E1
3.186509140E-1,2.878565550E0,8.982057571E0,5.816951752E0,1.108153534E1
3.208473250E-1,2.338984251E0,8.832506180E0,5.392824173E0,1.060973917E1
3.230386910E-1,1.841875196E0,8.673981667E0,5.107480049E0,1.023312341E1
3.252141870E-1,1.369292736E0,8.535198212E0,4.850849628E0,9.912381814E0
3.274349200E-1,9.152546525E-1,8.381459236E0,4.637290478E0,9.622422407E0
3.296303950E-1,4.851447940E-1,8.228917122E0,4.515256405E0,9.398828803E0
3.318333480E-1,7.836493850E-2,8.066802979E0,4.474578381E0,9.225036750E0
3.340226480E-1,-3.134597540E-1,7.914260864E0,4.405186653E0,9.063081788E0
3.362149500E-1,-6.717849374E-1,7.780860901E0,4.398007870E0,8.963010911E0
3.383987880E-1,-1.054636598E0,7.643273830E0,4.429114819E0,8.896569635E0
3.406122580E-1,-1.384247899E0,7.500302792E0,4.470390797E0,8.840536075E0
3.428077130E-1,-1.728814363E0,7.372286797E0,4.497310162E0,8.807111354E0
3.450070430E-1,-2.039881229E0,7.253243446E0,4.557728767E0,8.805881412E0
3.471989890E-1,-2.359921217E0,7.153941631E0,4.617549419E0,8.835715684E0
3.493948510E-1,-2.651845694E0,7.063612461E0,4.620540619E0,8.847389569E0
