"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.940265280E-1,1.571845150E1,-1.239900875E1,1.473978758E0,2.007430569E1
3.962224410E-1,1.586142349E1,-1.252822113E1,1.470987678E0,2.026585514E1
3.984190660E-1,1.599542141E1,-1.262871933E1,1.467398524E0,2.043260425E1
4.006167080E-1,1.608096504E1,-1.272921848E1,1.506880045E0,2.056455998E1
4.028118680E-1,1.611446381E1,-1.280100250E1,1.555334687E0,2.063881476E1
4.050088380E-1,1.613839149E1,-1.283928776E1,1.564906001E0,2.068197092E1
4.072039480E-1,1.614796448E1,-1.284347534E1,1.632503271E0,2.069726268E1
4.093940720E-1,1.615753555E1,-1.281954765E1,1.660618901E0,2.069213407E1
4.115708400E-1,1.618146324E1,-1.279561901E1,1.680359721E0,2.069761405E1
4.137921540E-1,1.619581985E1,-1.270947742E1,1.679761529E0,2.065567709E1
4.159874860E-1,1.622932053E1,-1.262812138E1,1.684547186E0,2.063245001E1
4.181875190E-1,1.628674698E1,-1.251865005E1,1.665404558E0,2.060942257E1
4.203815290E-1,1.633460426E1,-1.241815090E1,1.679761529E0,2.058765084E1
4.225792020E-1,1.637288857E1,-1.227936745E1,1.674377680E0,2.053430996E1
4.247739540E-1,1.641655731E1,-1.213101292E1,1.736590981E0,2.048610692E1
4.269687390E-1,1.648355675E1,-1.200180054E1,1.765304923E0,2.046624442E1
4.291586800E-1,1.651705742E1,-1.183908844E1,1.822134495E0,2.040336676E1
4.313308810E-1,1.658884048E1,-1.165244770E1,1.898704767E0,2.036109638E1
4.335325200E-1,1.666062546E1,-1.148913765E1,1.974676847E0,2.033411108E1
4.357548910E-1,1.673241043E1,-1.135095215E1,1.998605132E0,2.031777783E1
4.379563380E-1,1.677129364E1,-1.112124157E1,2.045863390E0,2.022730485E1
4.401535730E-1,1.682393646E1,-1.094417286E1,2.098505497E0,2.017977906E1
4.423368320E-1,1.686222076E1,-1.080538845E1,2.131406784E0,2.014035262E1
4.445155830E-1,1.688614845E1,-1.060917759E1,2.130808592E0,2.005584713E1
4.467342110E-1,1.689153290E1,-1.040818024E1,2.163709879E0,1.995835013E1
4.489307230E-1,1.686760521E1,-1.021196842E1,2.172084808E0,1.983729712E1
4.511329840E-1,1.686820412E1,-1.000139999E1,2.195414782E0,1.973281931E1
4.533238920E-1,1.685863113E1,-9.805189133E0,2.222932339E0,1.962897363E1
4.555194900E-1,1.682573128E1,-9.599406242E0,2.274377823E0,1.950452839E1
4.577160730E-1,1.679701614E1,-9.431908607E0,2.211566210E0,1.939050480E1
4.599111010E-1,1.675933075E1,-9.298508644E0,2.196012974E0,1.929144637E1
4.621074310E-1,1.673061562E1,-9.169296265E0,2.157129526E0,1.920007033E1
4.642973420E-1,1.662114334E1,-8.958727837E0,2.193620205E0,1.900876587E1
4.664746490E-1,1.653081512E1,-8.752944946E0,2.196611166E0,1.883366652E1
